receiver_pseudo,sender_pseudo,count,anomalies,non_anom,trust_raw,trust_blend
104655,104955,2189,2189,0,0.00045641259698767686,0.0003883667239219944
10572,10151,1679,1679,0,0.000594883997620464,0.0004887466927214472
107055,102555,685,685,0,0.001455604075691412,0.0010516695490161755
107291,107351,614,614,0,0.0016233766233766235,0.001153263464464256
101053,10151,513,513,0,0.001941747572815534,0.001340900519173703
102615,107351,421,421,0,0.002364066193853428,0.0015809597364858762
103035,106155,367,367,0,0.0027100271002710027,0.0017712697557012566
106635,104955,327,327,0,0.00303951367781155,0.0019479290783498506
101834,106155,322,322,0,0.0030864197530864196,0.001972744693693867
101774,104955,300,300,0,0.0033112582781456954,0.002090613788653986
101113,104955,290,290,0,0.003424657534246575,0.0021494095243849314
104475,104955,289,289,0,0.003436426116838488,0.0021554871545291674
104895,102555,282,282,0,0.0035211267605633804,0.0021990974583356157
105315,102555,271,271,0,0.003663003663003663,0.0022716404964543573
101954,104955,271,271,0,0.003663003663003663,0.0022716404964543573
105615,102555,269,269,0,0.0036900369003690036,0.002285392657178889
104835,102555,258,258,0,0.0038461538461538464,0.0023643844864447484
103815,104955,256,256,0,0.003875968992248062,0.002379389077183651
104235,102555,248,248,0,0.004,0.0024415359056952626
102915,106155,239,239,0,0.004149377593360996,0.002515814628881357
106515,102555,237,237,0,0.0041841004184100415,0.002532993991854225
106695,106155,230,230,0,0.004310344827586207,0.002595185322364018
105015,104955,219,219,0,0.004524886877828055,0.002699934133955049
101293,102555,219,219,0,0.004524886877828055,0.002699934133955049
102435,102555,206,206,0,0.004807692307692308,0.0028362848025373084
106575,104955,204,204,0,0.0048543689320388345,0.0028586076390817133
103335,102555,203,203,0,0.004878048780487805,0.0028699131954587204
106395,106155,198,198,0,0.005,0.002927934780747222
10572,1,193,193,0,0.005128205128205128,0.0029885735698580843
103635,103755,163,163,0,0.006060606060606061,0.0034193168564607616
105195,102555,157,157,0,0.006289308176100629,0.0035224152633594246
105915,102555,140,140,0,0.007042253521126761,0.0038554273892424822
106455,102555,116,116,0,0.00847457627118644,0.004464653265428362
104295,102555,106,106,0,0.009259259259259259,0.004786528042197585
101533,10151,90,90,0,0.010869565217391304,0.0054242033620282085
106095,102555,88,88,0,0.011111111111111112,0.0055174245707011686
10572,20151,83,83,0,0.011764705882352941,0.005766726544536996
10572,40151,78,78,0,0.0125,0.006042283017663416
104655,204955,73,73,0,0.013333333333333334,0.006348659827098187
10572,60151,72,72,0,0.013513513513513514,0.006414112472106868
104655,1,68,68,0,0.014285714285714285,0.006691573120980166
107291,207351,32,32,0,0.029411764705882353,0.011376797937767837
10572,50151,30,30,0,0.03125,0.011871707403956638
104235,103755,30,30,0,0.03125,0.011871707403956638
107055,202555,27,27,0,0.034482758620689655,0.012711539166430901
101113,10151,27,27,0,0.034482758620689655,0.012711539166430901
101053,40151,25,25,0,0.037037037037037035,0.013349489994937949
103035,1,25,25,0,0.037037037037037035,0.013349489994937949
101053,20151,25,25,0,0.037037037037037035,0.013349489994937949
101053,1,24,24,0,0.038461538461538464,0.013696051019765981
101834,1,23,23,0,0.04,0.014063251073694967
101053,60151,23,23,0,0.04,0.014063251073694967
107055,1,22,22,0,0.041666666666666664,0.014453041583727623
10572,30151,22,22,0,0.041666666666666664,0.014453041583727623
102615,1,21,21,0,0.043478260869565216,0.014867625864610129
104895,1,21,21,0,0.043478260869565216,0.014867625864610129
103335,104955,20,20,0,0.045454545454545456,0.015309499334704291
102915,1,20,20,0,0.045454545454545456,0.015309499334704291
103035,206155,20,20,0,0.045454545454545456,0.015309499334704291
101113,1,18,18,0,0.05,0.016286848353453707
101053,50151,17,17,0,0.05263157894736842,0.016829243493651176
101053,30151,16,16,0,0.05555555555555555,0.017412906315985487
105615,103755,16,16,0,0.05555555555555555,0.017412906315985487
105615,202555,16,16,0,0.05555555555555555,0.017412906315985487
106635,1,15,15,0,0.058823529411764705,0.018042678932017688
106635,204955,15,15,0,0.058823529411764705,0.018042678932017688
10873,103755,15,15,0,0.058823529411764705,0.018042678932017688
104835,202555,15,15,0,0.058823529411764705,0.018042678932017688
101954,204955,14,14,0,0.0625,0.01872411148225665
106695,1,14,14,0,0.0625,0.01872411148225665
104475,204955,14,14,0,0.0625,0.01872411148225665
105015,1,14,14,0,0.0625,0.01872411148225665
105315,202555,13,13,0,0.06666666666666667,0.019463550024361398
106395,1,13,13,0,0.06666666666666667,0.019463550024361398
101774,1,13,13,0,0.06666666666666667,0.019463550024361398
106395,206155,13,13,0,0.06666666666666667,0.019463550024361398
106695,206155,13,13,0,0.06666666666666667,0.019463550024361398
106575,1,12,12,0,0.07142857142857142,0.020268203171589245
101954,1,12,12,0,0.07142857142857142,0.020268203171589245
106515,202555,12,12,0,0.07142857142857142,0.020268203171589245
105615,1,12,12,0,0.07142857142857142,0.020268203171589245
101293,202555,11,11,0,0.07692307692307693,0.02114614549086915
104475,1,11,11,0,0.07692307692307693,0.02114614549086915
103815,204955,10,10,0,0.08333333333333333,0.022106167452079818
106515,1,10,10,0,0.08333333333333333,0.022106167452079818
102435,1,10,10,0,0.08333333333333333,0.022106167452079818
105015,204955,9,9,0,0.09090909090909091,0.023157277156184815
104235,202555,9,9,0,0.09090909090909091,0.023157277156184815
103335,1,9,9,0,0.09090909090909091,0.023157277156184815
102915,206155,8,8,0,0.1,0.024307424091829725
104895,202555,8,8,0,0.1,0.024307424091829725
106455,202555,8,8,0,0.1,0.024307424091829725
105315,1,8,8,0,0.1,0.024307424091829725
103635,203755,8,8,0,0.1,0.024307424091829725
10572,280153,1,1,0,0.3333333333333333,0.02556046182035839
10572,290151,1,1,0,0.3333333333333333,0.02556046182035839
10572,290153,1,1,0,0.3333333333333333,0.02556046182035839
10572,300151,1,1,0,0.3333333333333333,0.02556046182035839
10572,230153,1,1,0,0.3333333333333333,0.02556046182035839
10572,240151,1,1,0,0.3333333333333333,0.02556046182035839
10572,240153,1,1,0,0.3333333333333333,0.02556046182035839
10572,250151,1,1,0,0.3333333333333333,0.02556046182035839
10572,90151,1,1,0,0.3333333333333333,0.02556046182035839
10572,90153,1,1,0,0.3333333333333333,0.02556046182035839
10572,250153,1,1,0,0.3333333333333333,0.02556046182035839
10572,260151,1,1,0,0.3333333333333333,0.02556046182035839
10572,260153,1,1,0,0.3333333333333333,0.02556046182035839
10572,270151,1,1,0,0.3333333333333333,0.02556046182035839
10572,270153,1,1,0,0.3333333333333333,0.02556046182035839
10572,320151,1,1,0,0.3333333333333333,0.02556046182035839
104655,804955,1,1,0,0.3333333333333333,0.02556046182035839
104655,704955,1,1,0,0.3333333333333333,0.02556046182035839
104655,1004955,1,1,0,0.3333333333333333,0.02556046182035839
104655,904955,1,1,0,0.3333333333333333,0.02556046182035839
10572,320153,1,1,0,0.3333333333333333,0.02556046182035839
10572,340151,1,1,0,0.3333333333333333,0.02556046182035839
10572,350151,1,1,0,0.3333333333333333,0.02556046182035839
10572,340153,1,1,0,0.3333333333333333,0.02556046182035839
10572,360153,1,1,0,0.3333333333333333,0.02556046182035839
10572,370151,1,1,0,0.3333333333333333,0.02556046182035839
10572,350153,1,1,0,0.3333333333333333,0.02556046182035839
10572,360151,1,1,0,0.3333333333333333,0.02556046182035839
10572,120151,1,1,0,0.3333333333333333,0.02556046182035839
10572,120153,1,1,0,0.3333333333333333,0.02556046182035839
10572,130153,1,1,0,0.3333333333333333,0.02556046182035839
10572,130151,1,1,0,0.3333333333333333,0.02556046182035839
10572,1000152,1,1,0,0.3333333333333333,0.02556046182035839
101053,590153,1,1,0,0.3333333333333333,0.02556046182035839
10572,140151,1,1,0,0.3333333333333333,0.02556046182035839
10572,140153,1,1,0,0.3333333333333333,0.02556046182035839
10572,150151,1,1,0,0.3333333333333333,0.02556046182035839
10572,150153,1,1,0,0.3333333333333333,0.02556046182035839
10572,900152,1,1,0,0.3333333333333333,0.02556046182035839
10572,910152,1,1,0,0.3333333333333333,0.02556046182035839
10572,920152,1,1,0,0.3333333333333333,0.02556046182035839
10572,930152,1,1,0,0.3333333333333333,0.02556046182035839
10572,940152,1,1,0,0.3333333333333333,0.02556046182035839
10572,950152,1,1,0,0.3333333333333333,0.02556046182035839
10572,960152,1,1,0,0.3333333333333333,0.02556046182035839
10572,970152,1,1,0,0.3333333333333333,0.02556046182035839
10572,980152,1,1,0,0.3333333333333333,0.02556046182035839
10572,990152,1,1,0,0.3333333333333333,0.02556046182035839
104655,1804956,1,1,0,0.3333333333333333,0.02556046182035839
104655,1904955,1,1,0,0.3333333333333333,0.02556046182035839
101053,600153,1,1,0,0.3333333333333333,0.02556046182035839
104655,8904956,1,1,0,0.3333333333333333,0.02556046182035839
104655,9004956,1,1,0,0.3333333333333333,0.02556046182035839
104655,9104956,1,1,0,0.3333333333333333,0.02556046182035839
104655,1704956,1,1,0,0.3333333333333333,0.02556046182035839
104655,1804955,1,1,0,0.3333333333333333,0.02556046182035839
