receiver_pseudo,sender_pseudo,msgs,attacks,fused_hits,fp,fn
102074,104775,11,0,2,2,0
103275,104895,12,0,2,2,0
103875,104895,14,0,2,2,0
103995,104775,45,0,2,2,0
106275,104715,17,0,2,2,0
106635,104715,22,0,2,2,0
101233,10812,41,0,1,1,0
101233,102074,72,0,1,1,0
101954,103995,9,0,1,1,0
102074,103995,20,0,1,1,0
102315,104775,5,0,1,1,0
102315,104895,20,0,1,1,0
102375,105975,15,0,1,1,0
102615,104895,12,0,1,1,0
102915,101834,59,0,1,1,0
103575,105675,57,0,1,1,0
103815,104775,15,0,1,1,0
103995,102074,21,0,1,1,0
103995,105435,15,0,1,1,0
104595,102074,75,0,1,1,0
104655,106635,12,0,1,1,0
104955,106635,16,0,1,1,0
105075,103275,58,0,1,1,0
105255,104895,24,0,1,1,0
105615,105915,4,0,1,1,0
105915,105195,9,0,1,1,0
106035,105855,24,0,1,1,0
106335,104355,55,0,1,1,0
104655,104955,106,106,106,0,0
10572,10151,82,82,82,0,0
107055,102555,46,46,46,0,0
107291,107351,36,36,36,0,0
102615,107351,24,24,24,0,0
101053,10151,23,23,23,0,0
103035,106155,23,23,23,0,0
101834,106155,20,20,20,0,0
105615,102555,18,18,18,0,0
102915,106155,17,17,17,0,0
104895,102555,17,17,17,0,0
105315,102555,16,16,16,0,0
106635,104955,16,16,16,0,0
106695,106155,16,16,16,0,0
104235,102555,15,15,15,0,0
104475,104955,15,15,15,0,0
104835,102555,15,15,15,0,0
101774,104955,14,14,14,0,0
101954,104955,14,14,14,0,0
106515,102555,14,14,14,0,0
101113,104955,13,13,13,0,0
101293,102555,13,13,13,0,0
105015,104955,13,13,13,0,0
106395,106155,13,13,13,0,0
103815,104955,12,12,12,0,0
106575,104955,12,12,12,0,0
102435,102555,11,11,11,0,0
103335,102555,11,11,11,0,0
103635,103755,11,11,11,0,0
105195,102555,9,9,9,0,0
106455,102555,8,8,8,0,0
104295,102555,7,7,7,0,0
105915,102555,7,7,7,0,0
106095,102555,5,5,5,0,0
101533,10151,4,4,4,0,0
10873,103755,1,1,1,0,0
101113,10151,1,1,1,0,0
103335,104955,1,1,1,0,0
104235,103755,1,1,1,0,0
105615,103755,1,1,1,0,0
10151,10572,83,0,0,0,0
10151,101053,24,0,0,0,0
10151,101113,1,0,0,0,0
10151,101533,4,0,0,0,0
10331,10392,25,0,0,0,0
10392,10331,25,0,0,0,0
10392,10993,14,0,0,0,0
10452,10933,2,0,0,0,0
10572,101053,2,0,0,0,0
10692,10812,19,0,0,0,0
10692,101413,12,0,0,0,0
10752,101413,102,0,0,0,0
10752,102315,11,0,0,0,0
10752,102615,249,0,0,0,0
10752,102915,14,0,0,0,0
10752,104175,13,0,0,0,0
10752,104535,157,0,0,0,0
10752,104895,25,0,0,0,0
10752,105255,292,0,0,0,0
10752,106575,13,0,0,0,0
10752,107170,31,0,0,0,0
10812,10692,19,0,0,0,0
10812,101233,40,0,0,0,0
10812,101473,30,0,0,0,0
10873,101293,12,0,0,0,0
10873,101714,59,0,0,0,0
10873,102675,14,0,0,0,0
10873,102795,23,0,0,0,0
10873,103935,6,0,0,0,0
10873,105375,12,0,0,0,0
10873,105435,13,0,0,0,0
10873,106215,14,0,0,0,0
10873,106455,14,0,0,0,0
10873,107055,23,0,0,0,0
10933,10452,2,0,0,0,0
10933,101053,6,0,0,0,0
10993,10392,13,0,0,0,0
10993,101293,12,0,0,0,0
10993,101413,12,0,0,0,0
10993,101654,20,0,0,0,0
10993,102255,49,0,0,0,0
10993,102615,10,0,0,0,0
101053,10572,2,0,0,0,0
101053,10933,6,0,0,0,0
101053,101113,8,0,0,0,0
101053,101533,27,0,0,0,0
101113,101053,8,0,0,0,0
101113,101173,15,0,0,0,0
101113,101233,16,0,0,0,0
101113,101473,18,0,0,0,0
101113,101533,16,0,0,0,0
101113,101594,9,0,0,0,0
101113,101774,129,0,0,0,0
101113,102615,16,0,0,0,0
101113,103155,17,0,0,0,0
101113,103215,19,0,0,0,0
101113,103935,17,0,0,0,0
101113,104655,16,0,0,0,0
101113,104775,11,0,0,0,0
101113,105135,15,0,0,0,0
101113,105435,15,0,0,0,0
101173,101113,15,0,0,0,0
101173,101594,10,0,0,0,0
101173,101774,12,0,0,0,0
101173,103215,75,0,0,0,0
101173,103275,16,0,0,0,0
101173,104115,8,0,0,0,0
101173,104775,10,0,0,0,0
101173,105075,15,0,0,0,0
101173,105315,14,0,0,0,0
101173,105795,12,0,0,0,0
101173,106515,11,0,0,0,0
101233,101113,16,0,0,0,0
101233,101594,13,0,0,0,0
101233,101834,13,0,0,0,0
101233,102135,111,0,0,0,0
101233,102435,7,0,0,0,0
101233,103335,34,0,0,0,0
101233,104415,23,0,0,0,0
101233,104595,14,0,0,0,0
101233,105195,13,0,0,0,0
101233,105555,144,0,0,0,0
101233,105675,14,0,0,0,0
101293,10873,12,0,0,0,0
101293,10993,12,0,0,0,0
101293,101714,12,0,0,0,0
101293,101834,15,0,0,0,0
101293,101894,12,0,0,0,0
101293,102014,13,0,0,0,0
101293,102195,2,0,0,0,0
101293,102675,9,0,0,0,0
101293,102795,1,0,0,0,0
101293,104175,10,0,0,0,0
101293,104295,12,0,0,0,0
101293,104835,15,0,0,0,0
101293,105615,2,0,0,0,0
101293,106695,5,0,0,0,0
101293,106815,8,0,0,0,0
101293,106875,5,0,0,0,0
101413,10692,12,0,0,0,0
101413,10752,102,0,0,0,0
101413,10993,13,0,0,0,0
101413,102915,13,0,0,0,0
101413,103875,24,0,0,0,0
101413,104175,15,0,0,0,0
101413,104475,9,0,0,0,0
101413,105315,5,0,0,0,0
101413,106575,13,0,0,0,0
101473,10812,29,0,0,0,0
101473,101113,19,0,0,0,0
101533,101053,27,0,0,0,0
101533,101113,16,0,0,0,0
101594,101113,8,0,0,0,0
101594,101173,9,0,0,0,0
101594,101233,13,0,0,0,0
101594,101654,22,0,0,0,0
101594,102135,13,0,0,0,0
101594,103215,29,0,0,0,0
101654,10993,19,0,0,0,0
101654,101594,21,0,0,0,0
101654,102255,20,0,0,0,0
101654,102735,14,0,0,0,0
101654,103155,14,0,0,0,0
101654,103215,3,0,0,0,0
101654,105435,15,0,0,0,0
101714,10873,60,0,0,0,0
101714,101293,12,0,0,0,0
101714,102675,15,0,0,0,0
101714,102795,37,0,0,0,0
101714,103695,1,0,0,0,0
101714,106455,16,0,0,0,0
101774,101113,128,0,0,0,0
101774,101173,12,0,0,0,0
101774,102615,13,0,0,0,0
101774,103155,14,0,0,0,0
101774,103215,20,0,0,0,0
101774,103935,19,0,0,0,0
101774,104655,14,0,0,0,0
101774,105135,13,0,0,0,0
101774,105435,13,0,0,0,0
101774,106635,8,0,0,0,0
101834,101233,13,0,0,0,0
101834,101293,16,0,0,0,0
101834,102915,59,0,0,0,0
101834,103035,3,0,0,0,0
101834,104235,17,0,0,0,0
101834,104475,3,0,0,0,0
101834,104835,21,0,0,0,0
101834,105615,11,0,0,0,0
101834,105915,13,0,0,0,0
101834,106395,19,0,0,0,0
101894,101293,11,0,0,0,0
101894,102014,81,0,0,0,0
101894,102675,9,0,0,0,0
101894,103155,11,0,0,0,0
101894,103935,13,0,0,0,0
101894,105135,5,0,0,0,0
101894,105435,12,0,0,0,0
101894,105615,1,0,0,0,0
101894,106695,14,0,0,0,0
101954,102135,16,0,0,0,0
101954,103515,13,0,0,0,0
101954,104475,96,0,0,0,0
101954,104715,15,0,0,0,0
101954,104775,11,0,0,0,0
101954,105015,37,0,0,0,0
101954,105975,10,0,0,0,0
101954,106635,11,0,0,0,0
102014,101293,13,0,0,0,0
102014,101894,80,0,0,0,0
102014,102675,11,0,0,0,0
102014,102975,19,0,0,0,0
102014,103155,40,0,0,0,0
102014,105435,10,0,0,0,0
102014,106215,4,0,0,0,0
102014,106695,9,0,0,0,0
102074,101233,73,0,0,0,0
102074,102135,14,0,0,0,0
102074,104595,75,0,0,0,0
102074,105555,43,0,0,0,0
102074,105675,21,0,0,0,0
102074,106395,13,0,0,0,0
102135,101233,111,0,0,0,0
102135,101594,12,0,0,0,0
102135,101954,16,0,0,0,0
102135,102074,12,0,0,0,0
102135,103335,20,0,0,0,0
102135,104175,79,0,0,0,0
102135,104295,11,0,0,0,0
102135,104415,9,0,0,0,0
102135,104475,15,0,0,0,0
102135,104595,30,0,0,0,0
102135,105555,102,0,0,0,0
102135,105675,22,0,0,0,0
102135,106575,9,0,0,0,0
102135,106875,37,0,0,0,0
102195,101293,2,0,0,0,0
102195,101954,1,0,0,0,0
102195,102675,3,0,0,0,0
102195,103995,15,0,0,0,0
102195,104475,9,0,0,0,0
102195,104775,6,0,0,0,0
102195,105255,17,0,0,0,0
102195,105975,6,0,0,0,0
102195,106575,3,0,0,0,0
102255,10993,49,0,0,0,0
102255,101654,20,0,0,0,0
102315,10752,11,0,0,0,0
102315,102675,14,0,0,0,0
102315,103275,19,0,0,0,0
102315,103635,8,0,0,0,0
102315,103875,13,0,0,0,0
102315,103995,5,0,0,0,0
102315,104115,14,0,0,0,0
102315,104835,14,0,0,0,0
102315,105075,19,0,0,0,0
102315,105315,15,0,0,0,0
102315,106515,17,0,0,0,0
102375,103815,35,0,0,0,0
102375,104775,9,0,0,0,0
102375,105255,6,0,0,0,0
102375,106335,1,0,0,0,0
102435,101233,7,0,0,0,0
102435,103875,1,0,0,0,0
102435,104295,15,0,0,0,0
102435,106815,14,0,0,0,0
102555,101293,13,0,0,0,0
102555,102435,11,0,0,0,0
102555,103335,10,0,0,0,0
102555,104235,15,0,0,0,0
102555,104295,7,0,0,0,0
102555,104835,15,0,0,0,0
102555,104895,17,0,0,0,0
102555,105195,10,0,0,0,0
102555,105315,12,0,0,0,0
102555,105615,19,0,0,0,0
102555,105915,8,0,0,0,0
102555,106095,3,0,0,0,0
102555,106455,8,0,0,0,0
102555,106515,15,0,0,0,0
102555,107055,45,0,0,0,0
102615,10752,250,0,0,0,0
102615,10993,10,0,0,0,0
102615,101113,16,0,0,0,0
102615,101774,13,0,0,0,0
102615,104355,9,0,0,0,0
102615,104535,66,0,0,0,0
102615,105075,13,0,0,0,0
102615,105255,560,0,0,0,0
102615,105315,14,0,0,0,0
102615,105795,18,0,0,0,0
102615,106335,1,0,0,0,0
102615,107170,32,0,0,0,0
102615,107291,264,0,0,0,0
102675,10873,14,0,0,0,0
102675,101293,10,0,0,0,0
102675,101714,15,0,0,0,0
102675,101894,9,0,0,0,0
102675,102014,11,0,0,0,0
102675,102195,3,0,0,0,0
102675,102315,14,0,0,0,0
102675,102795,20,0,0,0,0
102675,102915,16,0,0,0,0
102675,104115,17,0,0,0,0
102675,104775,8,0,0,0,0
102675,106695,17,0,0,0,0
102675,106815,7,0,0,0,0
102735,101654,14,0,0,0,0
102795,10873,23,0,0,0,0
102795,101714,36,0,0,0,0
102795,102675,20,0,0,0,0
102795,104835,18,0,0,0,0
102795,106455,16,0,0,0,0
102855,103155,2,0,0,0,0
102855,105435,2,0,0,0,0
102855,105675,16,0,0,0,0
102855,106215,7,0,0,0,0
102855,106935,15,0,0,0,0
102915,10752,15,0,0,0,0
102915,101413,14,0,0,0,0
102915,102675,15,0,0,0,0
102915,103695,9,0,0,0,0
102915,104475,15,0,0,0,0
102915,105855,4,0,0,0,0
102915,106395,16,0,0,0,0
102975,102014,20,0,0,0,0
102975,103155,20,0,0,0,0
102975,103515,14,0,0,0,0
102975,103695,14,0,0,0,0
102975,103935,11,0,0,0,0
102975,104475,21,0,0,0,0
102975,104715,12,0,0,0,0
102975,105075,14,0,0,0,0
102975,105135,15,0,0,0,0
102975,106575,20,0,0,0,0
102975,106635,5,0,0,0,0
103035,101834,3,0,0,0,0
103035,104235,5,0,0,0,0
103035,106395,14,0,0,0,0
103035,106575,11,0,0,0,0
103035,106695,37,0,0,0,0
103155,101113,17,0,0,0,0
103155,101654,15,0,0,0,0
103155,101774,14,0,0,0,0
103155,101894,12,0,0,0,0
103155,102014,40,0,0,0,0
103155,102855,1,0,0,0,0
103155,102975,20,0,0,0,0
103155,103635,14,0,0,0,0
103155,104475,20,0,0,0,0
103155,105135,10,0,0,0,0
103155,105435,117,0,0,0,0
103155,106215,3,0,0,0,0
103155,106575,14,0,0,0,0
103155,106815,14,0,0,0,0
103155,106935,2,0,0,0,0
103215,101113,19,0,0,0,0
103215,101173,76,0,0,0,0
103215,101594,28,0,0,0,0
103215,101654,2,0,0,0,0
103215,101774,20,0,0,0,0
103215,104775,4,0,0,0,0
103275,101173,17,0,0,0,0
103275,102315,20,0,0,0,0
103275,103875,52,0,0,0,0
103275,104175,21,0,0,0,0
103275,105075,57,0,0,0,0
103275,105255,12,0,0,0,0
103275,105795,10,0,0,0,0
103275,106515,1,0,0,0,0
103335,101233,34,0,0,0,0
103335,102135,20,0,0,0,0
103335,103995,14,0,0,0,0
103335,104175,17,0,0,0,0
103335,104295,5,0,0,0,0
103335,104415,34,0,0,0,0
103335,104775,13,0,0,0,0
103335,105195,22,0,0,0,0
103335,105375,22,0,0,0,0
103335,105555,16,0,0,0,0
103335,105915,14,0,0,0,0
103335,106875,19,0,0,0,0
103335,106935,14,0,0,0,0
103515,101954,13,0,0,0,0
103515,102975,13,0,0,0,0
103515,104475,13,0,0,0,0
103515,104715,249,0,0,0,0
103515,105015,11,0,0,0,0
103515,105075,11,0,0,0,0
103515,105135,79,0,0,0,0
103515,105795,10,0,0,0,0
103515,105855,1,0,0,0,0
103515,106215,21,0,0,0,0
103515,106275,17,0,0,0,0
103515,106575,4,0,0,0,0
103515,106635,8,0,0,0,0
103635,102315,8,0,0,0,0
103635,103155,13,0,0,0,0
103635,104115,3,0,0,0,0
103635,106935,12,0,0,0,0
103695,102915,9,0,0,0,0
103695,102975,14,0,0,0,0
103695,105435,2,0,0,0,0
103695,106215,2,0,0,0,0
103695,106455,7,0,0,0,0
103755,103635,11,0,0,0,0
103755,104235,1,0,0,0,0
103755,105615,1,0,0,0,0
103815,102375,35,0,0,0,0
103815,104655,17,0,0,0,0
103815,106635,3,0,0,0,0
103875,101413,26,0,0,0,0
103875,102315,12,0,0,0,0
103875,102435,1,0,0,0,0
103875,103275,54,0,0,0,0
103875,104175,10,0,0,0,0
103875,104415,1,0,0,0,0
103875,105315,15,0,0,0,0
103875,106515,16,0,0,0,0
103935,10873,6,0,0,0,0
103935,101113,17,0,0,0,0
103935,101774,20,0,0,0,0
103935,101894,13,0,0,0,0
103935,102975,11,0,0,0,0
103935,106575,1,0,0,0,0
103995,101954,9,0,0,0,0
103995,102195,15,0,0,0,0
103995,102315,5,0,0,0,0
103995,103335,14,0,0,0,0
103995,104475,4,0,0,0,0
103995,104595,15,0,0,0,0
103995,104835,4,0,0,0,0
103995,105015,2,0,0,0,0
103995,105255,13,0,0,0,0
103995,105975,16,0,0,0,0
103995,106215,13,0,0,0,0
103995,106575,14,0,0,0,0
103995,106815,13,0,0,0,0
104055,105855,17,0,0,0,0
104115,101173,8,0,0,0,0
104115,102315,14,0,0,0,0
104115,102675,17,0,0,0,0
104115,103635,2,0,0,0,0
104115,104895,58,0,0,0,0
104115,105315,8,0,0,0,0
104115,106215,1,0,0,0,0
104115,106515,7,0,0,0,0
104115,106935,1,0,0,0,0
104175,10752,14,0,0,0,0
104175,101293,10,0,0,0,0
104175,101413,14,0,0,0,0
104175,102135,79,0,0,0,0
104175,103275,21,0,0,0,0
104175,103335,17,0,0,0,0
104175,103875,11,0,0,0,0
104175,104295,6,0,0,0,0
104175,104415,6,0,0,0,0
104175,106575,26,0,0,0,0
104175,106815,6,0,0,0,0
104175,106875,48,0,0,0,0
104235,101834,16,0,0,0,0
104235,103035,5,0,0,0,0
104235,104295,13,0,0,0,0
104235,104775,6,0,0,0,0
104235,105615,16,0,0,0,0
104295,101293,12,0,0,0,0
104295,102135,11,0,0,0,0
104295,102435,15,0,0,0,0
104295,103335,4,0,0,0,0
104295,104175,6,0,0,0,0
104295,104235,14,0,0,0,0
104295,104415,6,0,0,0,0
104295,104835,14,0,0,0,0
104295,105075,13,0,0,0,0
104295,105195,12,0,0,0,0
104295,105435,9,0,0,0,0
104295,105615,15,0,0,0,0
104295,106215,5,0,0,0,0
104295,106455,14,0,0,0,0
104295,106875,11,0,0,0,0
104295,107055,45,0,0,0,0
104355,102615,10,0,0,0,0
104355,106335,53,0,0,0,0
104355,106995,6,0,0,0,0
104415,101233,23,0,0,0,0
104415,102135,9,0,0,0,0
104415,103335,34,0,0,0,0
104415,103875,1,0,0,0,0
104415,104175,5,0,0,0,0
104415,104295,7,0,0,0,0
104415,105555,14,0,0,0,0
104415,105915,13,0,0,0,0
104415,106815,8,0,0,0,0
104415,106875,60,0,0,0,0
104475,101413,9,0,0,0,0
104475,101834,2,0,0,0,0
104475,101954,96,0,0,0,0
104475,102135,14,0,0,0,0
104475,102195,8,0,0,0,0
104475,102915,14,0,0,0,0
104475,102975,21,0,0,0,0
104475,103155,20,0,0,0,0
104475,103515,12,0,0,0,0
104475,103995,5,0,0,0,0
104475,104715,13,0,0,0,0
104475,104775,13,0,0,0,0
104475,105015,1,0,0,0,0
