receiver_pseudo,sender_pseudo,t_prev,t_curr,dt,x_prev,y_prev,x_curr,y_curr,dx,dy,dist,speed_prev,speed_curr,dv,jerk,acc_prev,acc_curr,dacc,heading_prev,heading_curr,dtheta,heading_rate,rate_msgs_per_s,pos_conf_x_curr,pos_conf_y_curr,spd_conf_x_curr,spd_conf_y_curr,acc_conf_x_curr,acc_conf_y_curr,head_conf_x_curr,head_conf_y_curr,label,mb_version,delta_speed,row_id,fused_anom,rsu_anom,obu_anom,rsu_score,trust_sender,trust_pair
102615,107351,1426.086891,1427.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,2.872321,0.0,-2.872321,-2.872321,4.514284,0.000199,-4.514085,-0.768825,-0.768825,0.0,0.0,1.0,4.755532,4.709174,-0.0,0.0,0.001438,0.001391,17.632369,17.632369,1,v2,2.872321,3238,1,1,0,0.952984690165172,0.0091200126524541,0.0190533576968223
102615,107351,1427.086891,1428.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000199,0.000199,0.0,-0.768825,-0.775552,-0.006727,-0.006727,1.0,4.899622,4.630052,-0.0,0.0,0.0,0.0,17.632369,17.632369,1,v2,0.0,3239,1,1,0,0.8534515170668783,0.0091200126524541,0.0190533576968223
102615,107351,1428.086891,1429.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,0.0,2.323294,2.323294,2.323294,0.000199,2.596249,2.59605,-0.775552,-0.747144,0.028408,0.028408,1.0,4.835943,4.540182,-0.001195,0.001092,0.001195,0.001092,14.853474,20.624195,1,v2,2.323294,3240,1,1,0,0.9435976018321468,0.0091200126524541,0.0190533576968223
102615,107351,1429.086891,1430.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,2.323294,4.504279,2.180985,2.180985,2.596249,2.329498,-0.266751,-0.747144,-0.48647,0.260674,0.260674,1.0,4.614003,4.432683,-0.002784,0.001448,0.001589,0.000356,11.82429,21.706946,1,v2,2.180985,3241,1,1,0,0.9543690342454496,0.0091200126524541,0.0190533576968223
102615,107351,1430.086891,1431.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,4.504279,6.550405,2.046126,2.046126,2.329498,1.828522,-0.500975,-0.48647,0.55776,1.044229,1.044229,1.0,4.574851,4.430542,-0.003855,-0.002441,0.001072,0.00389,10.13826,12.419922,1,v2,2.046126,3242,1,1,0,0.9896387006009262,0.0091200126524541,0.0190533576968223
102615,107351,1431.086891,1432.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,6.550405,8.651901,2.101496,2.101496,1.828522,1.513372,-0.31515,0.55776,0.781453,0.223693,0.223693,1.0,4.544147,4.507636,-0.00425,-0.004274,0.000395,0.001833,9.579813,9.547274,1,v2,2.101496,3243,1,1,0,0.9975,0.0091200126524541,0.0190533576968223
102615,107351,1432.086891,1433.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,8.651901,10.525694,1.873792,1.873792,1.513372,1.396278,-0.117094,0.781453,0.781453,0.0,0.0,1.0,4.455994,4.549418,-0.005171,-0.005199,0.00092,0.000926,8.394107,8.359434,1,v2,1.873792,3244,1,1,0,1.0,0.0091200126524541,0.0190533576968223
102615,107351,1433.086891,1434.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,10.525694,12.563356,2.037663,2.037663,1.396278,2.43644,1.040162,0.781453,0.779021,-0.002432,-0.002432,1.0,4.395225,4.539423,-0.006171,-0.006206,0.001001,0.001006,7.270922,7.235089,1,v2,2.037663,3245,1,1,0,0.9975,0.0091200126524541,0.0190533576968223
102615,107351,1434.086891,1435.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,12.563356,14.262853,1.699497,1.699497,2.43644,0.186725,-2.249715,0.779021,0.774033,-0.004987,-0.004987,1.0,4.481463,4.929586,-0.007012,-0.00704,0.000841,0.000834,6.444456,6.418969,1,v2,1.699497,3246,1,1,0,0.9975,0.0091200126524541,0.0190533576968223
102615,107351,1435.086891,1436.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,14.262853,14.222569,-0.040284,-0.040284,0.186725,0.7115,0.524775,0.774033,0.944282,0.170248,0.170248,1.0,4.31147,4.844331,-0.00569,-0.008111,0.001322,0.001071,7.790922,5.503904,1,v2,0.040284,3247,1,1,0,0.9923834302325584,0.0091200126524541,0.0190533576968223
102615,107351,1436.086891,1437.086891,1.0,11654.575591,13931.372465,11654.575591,13931.372465,0.0,0.0,0.0,14.222569,14.267357,0.044788,0.044788,0.7115,0.704616,-0.006884,0.944282,0.79756,-0.146722,-0.146722,1.0,4.567383,4.504407,-0.006812,-0.007238,0.001122,0.000873,6.632087,6.238913,1,v2,0.044788,3248,1,1,0,0.99,0.0091200126524541,0.0190533576968223
